manufacturer_id,domain,Already processed
441991,bluestar-management.com,441991
451018,freshfruitfarm.vn,451018
451089,vanguarddesignco.com,451089
451193,arqanfoods.store,451193
451217,getuncapped.io,451217
451399,velbiom.com,451399
451410,gay-odin.it,451410
451417,ingredientsmatterclean.com,451417
451534,periodhousestore.co.uk,451534
451575,alleaves.com,451575
451579,coffeegrange.com,451579
451650,kweliteyukon.yourkwoffice.com,451650
451665,displayit.com,451665
451755,thecultivist.com,451755
451766,micadecorations.com,451766
451855,hollywoodcasinobangor.com,451855
351432,zonnic.ca,351432
351455,riverpeopleguides.com,351455
351465,yukonvalley.com,351465
351571,assets-eu.researchsquare.com,351571
351780,canarm.com,351780
351889,cecmanitoba.ca,351889
461299,truestorywellness.com,461299
461313,iwcs.eu,461313
461498,musherdog.com,461498
461527,divplastics.com,461527
461568,ultrapure.com,461568
461765,mx.gowanco.com,461765
461818,magnamachine.com,461818
461849,quividi.com,461849
461969,tn-ict.com,461969
461975,chapter-1.net,461975
361047,atauctions.countylineequipment.com,361047
361562,crainbuickgmcofspringdale.com,361562
361623,xn--skogstrdgrden-hfbr.xn--stjrnsund-x2a.nu,361623
471070,mademobb.com,471070
471078,eriecotton.com,471078
471347,en.pks.rs,471347
471407,springbank.scot,471407
471437,workwelloutsourcing.com,471437
471482,ampacpackaging.com,471482
471578,coffeebeansshop.com.au,471578
471653,droplet.io,471653
471668,seqens.com,471668
471706,griffithrealty.com,471706
471730,chernoffsales.com,471730
471950,aminternational.sg,471950
68119,sideyardcocktails.com,68119
481144,smartdecostyle.com,481144
481182,vionbiosciences.com,481182
481231,furbishstudio.com,481231
481362,oxfordexchange.com,481362
481620,cambridgeassociates.com,481620
481635,logsongroup.co.uk,481635
481870,chocolatejunctionbd.com,481870
481938,uniconf.com.es,481938
371091,niceguysappliance.com,371091
371439,distributionnordselect.ca,371439
371482,xgentech.net,371482
371649,briankedwards.com,371649
68148,ricksvitaminmix.com,68148
371676,coffeedrup.ca,371676
371684,asc.ox.ac.uk,371684
371686,gla.ac.uk,371686
68159,e10energydrink.com,68159
371794,foresthillfinancial.com,371794
341144,wn.com,341144
341215,gostraws.ca,341215
341233,fisher.library.utoronto.ca,341233
341443,nectarnetworks.ca,341443
68166,rockhumanity.com,68166
491781,rothsay.ca,491781
491788,sierrasupplychain.com,491788
511531,bwcooney.ca,511531
491851,foodflo.co.nz,491851
501257,straydogbrewing.ca,501257
501290,aqua-lifeint.com,501290
501490,microbrasserienouvellefrance.com,501490
501589,supremovino.com,501589
501617,backroadsbrewing.com,501617
501803,northstarice.ca,501803
501879,naturessupplements.ca,501879
111850,exploresuperfoods.com,111850
531044,foundationculinary.com,531044
531193,allies-sweet-tooth.com,531193
531216,msmichelles.com,531216
531228,unitedcoffeeserviceinc.com,531228
531262,wagonwheelfarm.org,531262
531279,vandeats.com,531279
531378,deschutesriverbeef.com,531378
531395,muffinmam.com,531395
531430,luvitafoods.com,531430
531479,aldonzavinos.com,531479
531614,mymarketnewpaltz.com,531614
531661,highcottoncashews.com,531661
531665,cubaninternationalbakery.com,531665
531710,newenglandemporium.com,531710
531714,missbsrumballs.com,531714
531726,javachi.com,531726
531755,jdsunshinefarms.com,531755
531763,ryzeglutenfree.com,531763
531794,el-marques.com,531794
531819,wickedcakesaustin.com,531819
531835,ergohempco.com,531835
531841,gobuckwheat.com,531841
531852,alliummarket.com,531852
531861,sweetdissent.com,531861
531868,daytonsbbq.com,531868
531867,cannaleaf.com,531867
531897,heritagefarmsproduce.com,531897
531932,gravycard.com,531932
531979,porthopeproduce.com,531979
511857,thecreativeboxes.com,511857
551012,kiranmittal.com,551012
551029,toomeys-mardigras.com,551029
551116,shoenique.net,551116
551123,brensonskitchen.com,551123
551150,lovebudspiceblends.com,551150
551168,ossiecurryfuneralhome.com,551168
551198,sombats.com,551198
551261,pro-net.sba.gov,551261
551269,murdofamily.com,551269
